商品名,メーカー,犬/猫,対象年齢,シニア対応,粒サイズ,kcal/100g,粗タンパク質,粗脂肪,kg単価,悩みタグ,注意メモ,Amazon URL,楽天 URL,公式URL,ASP有無,最終確認日
ニュートロ シュプレモ シニア犬用,Nutro,犬,シニア,TRUE,小粒,350,26,13,1900,senior|coat|balanced|small,要公式確認,,,,未設定,2026-09-17
ヒルズ サイエンス・ダイエット シニア 小型犬用,Hill's,犬,シニア,TRUE,小粒,365,19,14,1300,senior|small|cost|balanced,要公式確認,,,,未設定,2026-09-17
ロイヤルカナン ミニ エイジング12+,Royal Canin,犬,12歳以上,TRUE,小粒,383,24,14,1700,senior|small|palatable,要公式確認,,,,未設定,2026-09-17
アカナ シニアドッグ,ACANA,犬,シニア,TRUE,普通,332,33,14,2300,senior|protein|weight,要公式確認,,,,未設定,2026-09-17
ピュリナ ワン 7歳以上,ピュリナ,犬,7歳以上,TRUE,普通,360,27,13,900,senior|cost|palatable,要公式確認,,,,未設定,2026-09-17
このこのごはん,オモヤ,犬,全年齢,FALSE,小粒,343,20.9,8.2,3800,small|lowfat|japan|coat,シニア専用ではない,,,,未設定,2026-09-17
モグワン,レティシアン,犬,全年齢,FALSE,普通,361,27,10,2600,balanced|palatable|coat,シニア専用ではない,,,,未設定,2026-09-17
犬猫生活 ドッグフード シニア,犬猫生活,犬,シニア,TRUE,小粒,347,24,10,3200,senior|japan|lowfat,要公式確認,,,,未設定,2026-09-17
セレクトバランス エイジングケア チキン,Select Balance,犬,シニア,TRUE,小粒,350,20,10,1500,senior|lowfat|cost|small,要公式確認,,,,未設定,2026-09-17
プロマネージ 7歳からの室内犬用,PROMANAGE,犬,7歳以上,TRUE,小粒,355,24,12,1000,senior|cost|small,要公式確認,,,,未設定,2026-09-17
アイムス 7歳以上 健康サポート,IAMS,犬,7歳以上,TRUE,普通,365,24,11,850,senior|cost,要公式確認,,,,未設定,2026-09-17
ユーカヌバ シニア 小型犬用,Eukanuba,犬,シニア,TRUE,小粒,376,27,15,1500,senior|small|palatable,要公式確認,,,,未設定,2026-09-17
ナウフレッシュ スモールブリード シニア,NOW FRESH,犬,シニア,TRUE,小粒,341,24,12,3100,senior|small|grainfree|weight,要公式確認,,,,未設定,2026-09-17
オリジン シニア,ORIJEN,犬,シニア,TRUE,普通,371,38,15,3200,senior|protein|ingredient,要公式確認,,,,未設定,2026-09-17
ソルビダ グレインフリー チキン 室内飼育7歳以上,SOLVIDA,犬,7歳以上,TRUE,普通,350,23,10,2600,senior|grainfree|lowfat|coat,要公式確認,,,,未設定,2026-09-17
アーテミス アガリクス I/S 小粒,Artemis,犬,全年齢,FALSE,小粒,358,24,14,2100,small|stomach|palatable,シニア専用ではない,,,,未設定,2026-09-17
ナチュロル,楽しい製薬,犬,全年齢,FALSE,普通,400,23,10,3600,japan|palatable|ingredient,高カロリー寄り,,,,未設定,2026-09-17
馬肉自然づくり,健康いぬ生活,犬,全年齢,FALSE,普通,399,27,11,3300,japan|palatable|ingredient,高カロリー寄り,,,,未設定,2026-09-17
Yum Yum Yum! シニア&ライト チキン,GREEN DOG,犬,シニア,TRUE,小粒,320,20,8.5,4200,senior|japan|lowfat|weight|small,要公式確認,,,,未設定,2026-09-17
ミシュワン シニア犬用,ミシュワン,犬,シニア,TRUE,小粒,332,21.5,9.5,3800,senior|japan|small|lowfat,要公式確認,,,,未設定,2026-09-17
Dr.ケアワン,アニマルライフ研究所,犬,全年齢,FALSE,小粒,347,22.5,7.5,3900,japan|lowfat|coat|small,シニア専用ではない,,,,未設定,2026-09-17
ペトコトフーズ チキン,PETOKOTO,犬,全年齢,FALSE,ウェット,150,13,5.4,5200,fresh|palatable|stomach,フレッシュフード,,,,未設定,2026-09-17
ブッチ ブラック・レーベル,Butch,犬,全年齢,FALSE,ウェット,116,10.5,8,2600,wet|palatable|senior,ウェットフード,,,,未設定,2026-09-17
カナガン ドッグフード チキン,レティシアン,犬,全年齢,FALSE,普通,376,29,15,2600,grainfree|palatable|protein,シニア専用ではない,,,,未設定,2026-09-17
ネルソンズ ドッグフード,レティシアン,犬,全年齢,FALSE,普通,365,28,12,2200,medium|ingredient|palatable,中大型犬寄り,,,,未設定,2026-09-17
POCHI ザ・ドッグフード エイジングケア,POCHI,犬,シニア,TRUE,普通,315,30,10,2400,senior|weight|lowfat|protein,要公式確認,,,,未設定,2026-09-17
ペロリコ ドッグフード ライト,レティシアン,犬,全年齢,FALSE,普通,326,22.5,8,2600,weight|lowfat|senior,体重管理寄り,,,,未設定,2026-09-17
ロイヤルカナン ミニ ライトウェイトケア,Royal Canin,犬,成犬,FALSE,小粒,319,30,11,1700,weight|small|lowfat,シニア専用ではない,,,,未設定,2026-09-17
ヒルズ サイエンス・ダイエット 減量サポート 小型犬用,Hill's,犬,成犬,FALSE,小粒,313,24,9,1500,weight|small|lowfat|cost,シニア専用ではない,,,,未設定,2026-09-17
VetSolution 犬用 胃腸サポート,Monge,犬,成犬,FALSE,普通,383,24,15,2400,stomach|senior,療法食相当なら要獣医確認,,,,未設定,2026-09-17
